delta1,delta2,delta3,delta4
00003,00000,00005,00003
00002,00007,00002,00000
00001,00001,00003,00002
00000,-0004,00002,00002
00001,00002,00000,00002
00003,-0004,00001,-0001
00002,00002,00001,00004
00006,-0003,00002,00000
00003,-0001,00002,00004
00001,-0009,00005,00000
00000,00002,00002,00003
00002,-0002,00002,-0002
00003,00001,00004,00003
00002,-0005,00003,00001
00000,-0002,00002,00001
00002,00000,00000,-0005
00002,-0005,00000,-0005
00005,-0005,00002,-0004
00004,00000,00003,00000
00001,-0004,00003,-0001
00000,00001,00002,-0001
00001,-0003,00002,-0002
00003,00002,00002,00000
00001,00000,00004,00001
00002,00000,00001,00001
00002,-0003,00001,00000
00001,00004,-0001,-0003
00005,-0002,00001,-0003
00004,00001,00003,-0001
00002,00002,00003,00001
00001,00005,00002,00000
00002,00005,00003,00001
00000,00000,00003,-0001
00001,00002,00003,00007
00002,-0001,00004,00004
00001,00005,00001,00001
00004,00001,00001,00002
00000,00001,00000,00002
00004,00001,00003,-0001
00001,00001,00004,00004
00002,00002,00004,00002
00001,00001,00004,00002
00002,00000,00001,00002
00002,00004,00003,00000
00001,-0003,00001,00001
00002,00002,00000,00003
00003,00000,-0001,00004
00001,00006,00001,00000
00005,-0004,00002,-0001
00003,-0002,00002,00002
00001,-0005,00003,-0004
00003,00002,00003,00005
00002,00001,00003,-0002
00003,00000,00003,00001
00001,-0005,00003,-0003
