delta1,delta2,delta3,delta4
00004,00017,00015,00044
00004,00017,00015,00064
00004,00017,00015,00076
00004,00017,00015,00102
00002,00022,00021,00119
00002,00022,00024,00119
00002,00020,00024,00119
00002,00020,00029,00119
00002,00024,00024,00119
00002,00016,00019,00119
00002,00019,00015,00033
00001,00015,00006,00015
00001,00015,00006,00013
00001,00015,00006,00004
00001,00015,00006,00003
00001,00015,00006,00000
00001,00015,00006,00000
00000,00000,00002,00002
00001,00001,00003,-0001
00001,00002,00001,00001
00002,00003,00002,-0001
-0001,00002,00000,00000
-0001,00002,00002,00004
00003,-0001,00005,-0001
00003,00001,00003,00001
00000,-0001,00001,-0001
00001,00000,00005,00003
-0001,-0004,00003,00001
00000,00003,00006,00002
00001,00005,00001,00000
00001,00003,00006,-0001
00000,00008,00004,00000
00002,00008,00003,00001
00000,00008,-0001,-0002
-0001,00006,00003,00004
00003,00006,00005,00003
00003,00007,00005,00006
00001,00006,00007,00006
00002,00005,00005,00001
00003,00006,00005,00003
