delta1,delta2,delta3,delta4
00004,00016,00014,00043
00004,00016,00014,00058
00004,00016,00014,00079
00004,00028,00023,00096
00004,00025,00020,00096
00004,00032,00020,00096
00004,00029,00030,00096
00004,00024,00021,00096
00004,00028,00025,00096
00004,00028,00021,00096
00004,00028,00018,00096
00004,00012,00009,00022
00004,00015,00009,00022
00004,00007,00009,00022
00004,00004,00009,00022
00004,00004,00009,00022
00004,00006,00009,00022
00001,-0001,00001,00000
00001,-0001,00001,00002
00001,-0001,00001,00003
00001,-0001,00001,00002
00001,-0001,00001,00002
00001,-0001,00001,00002
00002,00007,00007,00005
00000,00006,00004,00002
00000,00004,00006,00003
00002,00000,00001,00002
00002,00007,00004,00002
00002,00002,00000,00001
00000,00006,00005,00004
-0001,00000,00003,-0001
-0001,00008,00004,00005
00003,-0002,00004,-0001
00003,00004,00007,00002
00001,-0001,00003,00001
-0001,-0003,00006,00004
00001,00001,00002,-0002
-0001,00001,00002,00002
00001,00001,-0001,-0001
00002,00002,00002,-0001
