delta1,delta2,delta3,delta4
0020,0022,0040,0037,
0020,0022,0040,0037,
0020,0029,0050,0043,
0020,0029,0050,0043,
0020,0033,0050,0043,
0022,0039,0054,0049,
0022,0039,0054,0049,
0022,0039,0054,0049,
0028,0038,0063,0054,
0028,0038,0063,0054,
0028,0038,0063,0054,
0031,0041,0068,0056,
0031,0041,0068,0056,
0032,0041,0068,0056,
0030,0041,0065,0050,
0030,0041,0065,0050,
0030,0041,0065,0050,
0028,0039,0049,0038,
0028,0039,0049,0038,
0028,0039,0049,0038,
0030,0033,0042,0037,
0029,0032,0041,0036,
0028,0026,0038,0036,
0022,0021,0032,0024,
0022,0021,0032,0024,
0019,0016,0031,0024,
0014,0014,0020,0014,
0014,0014,0020,0014,
0012,0014,0020,0014,
0012,0008,0014,0009,
