delta1,delta2,delta3,delta4
0019,0015,0028,0027,
0019,0015,0028,0027,
0018,0021,0040,0029,
0018,0021,0040,0029,
0018,0021,0040,0029,
0020,0021,0039,0035,
0020,0021,0039,0035,
0020,0021,0039,0035,
0025,0024,0034,0033,
0025,0024,0034,0033,
0025,0024,0034,0033,
0019,0023,0037,0031,
0019,0023,0037,0031,
0019,0023,0037,0031,
0015,0021,0027,0018,
0015,0021,0027,0018,
0015,0021,0027,0018,
0011,0012,0018,0031,
0011,0012,0018,0031,
0011,0012,0018,0027,
0005,0012,0013,0008,
0005,0012,0013,0008,
0005,0012,0013,0008,
0000,0005,0006,0009,
0000,0005,0006,0009,
0000,0005,0006,0009,
0004,0002,0004,0006,
0004,0002,0004,0006,
0004,0002,0004,0006,
-002,0004,0006,-003,
