delta1,delta2,delta3,delta4
0016,0027,0045,0045,
0016,0027,0046,0045,
0017,0027,0046,0047,
0023,0038,0069,0062,
0023,0039,0069,0062,
0023,0043,0076,0065,
0029,0049,0066,0054,
0029,0049,0062,0054,
0029,0041,0060,0054,
0028,0041,0051,0047,
0028,0039,0051,0047,
0028,0033,0050,0043,
0025,0032,0042,0039,
0025,0032,0040,0036,
0022,0029,0036,0031,
0018,0025,0026,0025,
0018,0025,0025,0025,
0016,0025,0020,0024,
0012,0013,0016,0017,
0012,0013,0016,0017,
0012,0011,0012,0016,
0007,0007,0004,0005,
0007,0006,0004,0005,
0007,0006,0004,0005,
-001,0001,0004,0002,
-001,0001,0004,0002,
-001,0001,0003,0002,
-001,0002,0003,0003,
-001,0002,0003,0003,
-001,0002,0004,0003,
