delta1,delta2,delta3,delta4
0006,0012,0026,0018,
0006,0014,0028,0018,
0012,0018,0033,0028,
0012,0018,0033,0028,
0012,0018,0033,0028,
0013,0023,0039,0033,
0013,0023,0039,0033,
0013,0023,0039,0033,
0023,0028,0048,0039,
0023,0028,0048,0039,
0023,0028,0048,0039,
0023,0032,0051,0044,
0023,0032,0051,0044,
0023,0032,0051,0044,
0021,0032,0051,0040,
0021,0032,0051,0040,
0021,0032,0051,0040,
0019,0034,0048,0034,
0019,0034,0048,0034,
0019,0034,0045,0034,
0018,0026,0034,0025,
0018,0026,0034,0025,
0018,0023,0033,0025,
0012,0015,0023,0017,
0012,0015,0023,0017,
0012,0015,0023,0017,
0009,0010,0009,0008,
0009,0010,0009,0008,
0009,0010,0009,0008,
0005,0001,0004,0003,
