delta1,delta2,delta3,delta4
0009,0019,0028,0024,
0013,0019,0028,0026,
0019,0028,0037,0033,
0019,0028,0037,0033,
0020,0030,0037,0034,
0020,0030,0043,0042,
0020,0030,0043,0042,
0020,0030,0043,0041,
0022,0029,0043,0037,
0022,0029,0043,0037,
0022,0029,0043,0037,
0020,0027,0036,0031,
0020,0024,0036,0031,
0020,0024,0036,0031,
0018,0021,0031,0028,
0018,0021,0031,0028,
0018,0021,0027,0022,
0014,0020,0022,0022,
0014,0016,0022,0022,
0014,0016,0020,0016,
0014,0015,0012,0011,
0014,0014,0012,0011,
0010,0014,0012,0010,
0007,0010,0006,0005,
0007,0010,-001,0005,
0006,0007,-001,0005,
0003,0003,0005,0006,
0003,0003,0005,0006,
0003,0003,0005,0003,
0003,0003,-006,-002,
