delta1,delta2,delta3,delta4
0013,0020,0037,0025,
0013,0020,0037,0025,
0017,0020,0033,0028,
0017,0020,0033,0028,
0017,0020,0033,0028,
0013,0020,0029,0023,
0013,0020,0029,0023,
0013,0020,0029,0023,
0016,0012,0018,0013,
0016,0012,0018,0013,
0016,0012,0018,0013,
0005,0006,0011,0010,
0005,0006,0011,0010,
0005,0006,0011,0010,
0001,0002,0005,0008,
0001,0002,0005,0008,
0001,0002,0005,0008,
0001,0007,0007,0001,
0001,0007,0007,0001,
0001,0007,0007,0001,
0005,-007,0000,0002,
0005,-007,0000,0002,
0005,-007,0000,0002,
0003,0000,0001,0001,
0003,0000,0001,0001,
0003,0000,0001,0001,
0000,0004,0006,-002,
0000,0004,0006,-002,
0000,0004,0006,-002,
-002,0004,0004,-001,
