delta1,delta2,delta3,delta4
0013,0017,0030,0025,
0013,0017,0030,0025,
0013,0028,0044,0030,
0013,0028,0044,0030,
0013,0028,0044,0030,
0015,0030,0047,0031,
0015,0030,0047,0031,
0015,0030,0047,0031,
0019,0024,0039,0031,
0019,0024,0039,0031,
0019,0024,0039,0031,
0014,0020,0031,0024,
0014,0020,0031,0024,
0014,0020,0031,0024,
0013,0019,0025,0017,
0013,0019,0025,0017,
0013,0019,0025,0017,
0011,0012,0017,0014,
0011,0012,0017,0014,
0011,0012,0017,0014,
0006,0010,0015,0007,
0006,0010,0015,0007,
0006,0010,0015,0007,
0004,0004,0007,0008,
0004,0004,0007,0008,
0004,0004,0007,0008,
0004,0006,0007,0007,
0004,0006,0007,0007,
0004,0006,0007,0007,
-002,0003,0000,0007,
