delta1,delta2,delta3,delta4
0016,0011,0026,0022,
0016,0011,0027,0022,
0021,0024,0045,0042,
0021,0024,0045,0042,
0021,0028,0045,0042,
0027,0042,0066,0062,
0027,0042,0066,0062,
0027,0043,0066,0062,
0034,0051,0082,0070,
0034,0051,0082,0070,
0034,0052,0082,0070,
0037,0056,0086,0079,
0037,0056,0086,0079,
0037,0057,0086,0077,
0033,0046,0069,0053,
0033,0046,0069,0053,
0033,0046,0066,0051,
0028,0035,0043,0036,
0028,0035,0043,0036,
0028,0029,0036,0035,
0015,0016,0020,0018,
0015,0016,0020,0018,
0015,0016,0020,0018,
0010,0006,0003,0004,
0010,0006,0003,0004,
0010,0006,0003,0004,
-003,0006,0001,-002,
-003,0006,0001,-002,
-003,0005,0001,-002,
0002,-003,-006,-005,
