delta1,delta2,delta3,delta4
0013,0020,0031,0029,
0013,0020,0032,0032,
0014,0027,0049,0042,
0016,0027,0049,0042,
0016,0027,0049,0042,
0025,0035,0052,0049,
0025,0035,0052,0049,
0026,0035,0052,0049,
0024,0036,0051,0047,
0024,0036,0051,0047,
0024,0036,0051,0045,
0024,0032,0047,0043,
0024,0032,0047,0043,
0022,0032,0047,0040,
0019,0032,0039,0039,
0019,0032,0039,0034,
0019,0032,0038,0030,
0022,0030,0032,0027,
0022,0030,0028,0027,
0018,0021,0022,0020,
0012,0018,0017,0020,
0012,0014,0017,0020,
0011,0011,0013,0015,
0006,0010,0012,0007,
0006,0010,0012,0007,
0006,0007,0008,0007,
0003,0005,0001,0000,
0003,0005,0001,-001,
0003,0005,0001,-001,
-002,0002,0001,0001,
