delta1,delta2,delta3,delta4
0013,0018,0031,0031,
0013,0018,0031,0031,
0020,0026,0046,0040,
0020,0026,0046,0040,
0020,0028,0047,0045,
0026,0038,0061,0053,
0026,0038,0061,0053,
0028,0041,0066,0062,
0033,0047,0075,0069,
0033,0047,0075,0069,
0033,0048,0075,0065,
0031,0047,0065,0057,
0031,0047,0065,0057,
0029,0039,0055,0044,
0026,0034,0052,0044,
0026,0034,0052,0044,
0025,0030,0039,0036,
0015,0018,0026,0020,
0015,0018,0026,0020,
0012,0018,0020,0020,
0012,0011,0011,0008,
0012,0011,0011,0008,
0008,0008,0011,0006,
0008,0008,0003,0005,
0008,0008,0003,0005,
0008,0004,0003,0004,
0000,0002,0005,0003,
0000,0002,0005,0003,
0000,0002,0003,0003,
0002,-001,0003,0004,
