delta1,delta2,delta3,delta4
0008,0015,0027,0022,
0008,0015,0027,0022,
0012,0014,0029,0027,
0012,0014,0029,0027,
0012,0014,0029,0027,
0012,0018,0029,0027,
0012,0018,0029,0027,
0012,0018,0029,0027,
0011,0020,0030,0020,
0011,0020,0030,0020,
0011,0020,0030,0020,
0007,0017,0024,0019,
0007,0017,0024,0019,
0007,0017,0024,0019,
0009,0012,0018,0012,
0009,0012,0018,0012,
0009,0012,0018,0012,
0008,0006,0009,0007,
0008,0006,0009,0007,
0008,0006,0009,0007,
0002,0004,0004,0007,
0002,0004,0004,0007,
0002,0004,0004,0007,
-001,0003,0004,0005,
-001,0003,0004,0005,
-001,0003,0004,0005,
0001,0008,0001,0006,
0001,0008,0001,0006,
0001,0008,0001,0006,
-004,0003,0006,0000,
