delta1,delta2,delta3,delta4
0015,0019,0030,0024,
0015,0019,0030,0024,
0013,0026,0039,0029,
0013,0026,0039,0029,
0013,0026,0039,0029,
0015,0022,0035,0029,
0015,0022,0035,0029,
0015,0022,0035,0029,
0017,0018,0037,0026,
0017,0018,0037,0026,
0017,0018,0037,0026,
0013,0020,0027,0023,
0013,0020,0027,0023,
0013,0018,0027,0023,
0010,0013,0019,0013,
0009,0012,0018,0012,
0009,0012,0018,0012,
0005,0006,0008,0010,
0005,0006,0008,0010,
0005,0006,0008,0010,
0003,0002,0003,0006,
0003,0002,0003,0006,
0003,0002,0003,0006,
0004,-001,0000,0003,
0004,-001,0000,0003,
0004,-001,0000,0003,
0001,0003,0007,0002,
0001,0003,0007,0002,
0001,0003,0007,0002,
0000,0000,-004,0003,
