delta1,delta2,delta3,delta4
0011,0013,0032,0032,
0013,0016,0034,0033,
0024,0028,0057,0050,
0024,0035,0061,0051,
0024,0038,0063,0053,
0033,0045,0076,0076,
0033,0045,0076,0076,
0033,0045,0079,0076,
0034,0055,0086,0078,
0034,0055,0086,0078,
0034,0055,0086,0078,
0041,0054,0082,0068,
0041,0054,0082,0068,
0033,0051,0068,0058,
0032,0042,0059,0049,
0032,0042,0052,0045,
0031,0030,0041,0039,
0018,0025,0033,0026,
0018,0018,0029,0026,
0017,0018,0023,0019,
0008,0015,0020,0014,
0008,0012,0014,0014,
0007,0011,0014,0010,
0007,0008,0007,0005,
0007,0008,0007,0005,
0005,0005,0007,0005,
0005,0003,0002,0005,
0005,0003,0002,0005,
0007,0003,0002,0005,
0008,0003,0002,0001,
