delta1,delta2,delta3,delta4
0010,0020,0032,0030,
0010,0020,0032,0030,
0023,0032,0047,0047,
0023,0032,0050,0047,
0025,0035,0051,0047,
0029,0041,0064,0060,
0029,0043,0065,0060,
0031,0045,0065,0060,
0037,0053,0076,0072,
0037,0053,0076,0072,
0038,0055,0076,0072,
0034,0051,0071,0073,
0034,0051,0071,0073,
0034,0051,0071,0073,
0031,0046,0066,0060,
0031,0044,0066,0060,
0030,0043,0054,0043,
0022,0035,0051,0038,
0022,0033,0037,0032,
0022,0028,0031,0030,
0014,0019,0023,0024,
0014,0014,0018,0020,
0014,0013,0017,0017,
0009,0012,0012,0011,
0009,0008,0012,0011,
0009,0006,0008,0010,
0005,0005,0003,0002,
0005,0005,0003,0002,
0003,0005,0003,0002,
0003,0005,-001,-001,
