delta1,delta2,delta3,delta4
0015,0025,0038,0028,
0015,0030,0038,0030,
0030,0052,0071,0051,
0031,0057,0075,0059,
0036,0063,0092,0070,
0061,0076,0122,0115,
0063,0087,0128,0119,
0063,0088,0130,0124,
0063,0112,0147,0130,
0063,0117,0154,0130,
0059,0134,0160,0130,
0058,0134,0209,0137,
0048,0103,0209,0138,
0046,0078,0182,0138,
0038,0067,0145,0138,
0024,0043,0091,0111,
0019,0029,0047,0056,
0019,0026,0040,0037,
0019,0016,0020,0017,
0019,0016,0020,0017,
0019,0012,0014,0014,
-001,0008,0013,0005,
-001,0008,0013,0004,
-005,0010,0006,0002,
-005,0010,0003,-005,
-005,0008,0003,-005,
-001,0002,0003,0001,
-001,0002,0003,0001,
-001,0002,0003,0001,
-003,0004,-001,0000,
