delta1,delta2,delta3,delta4
0014,0023,0035,0024,
0022,0028,0043,0030,
0024,0033,0044,0030,
0024,0037,0057,0030,
0030,0045,0065,0054,
0033,0048,0072,0054,
0037,0051,0080,0061,
0037,0059,0087,0076,
0039,0059,0089,0076,
0039,0061,0096,0076,
0039,0061,0096,0076,
0027,0049,0092,0068,
0026,0040,0075,0063,
0024,0035,0066,0057,
0013,0019,0038,0028,
0011,0015,0030,0025,
0007,0015,0025,0019,
0005,-002,0005,0006,
0005,-002,0005,0006,
0005,-002,0005,0006,
-002,0002,0002,0000,
-002,0002,0002,0000,
-002,0002,0002,0001,
0001,0000,0000,0001,
0001,0000,0000,0001,
0001,0000,0000,-004,
-001,0001,-001,-002,
-001,0001,-001,-002,
-001,0001,-001,-002,
0000,0000,0004,-001,
