delta1,delta2,delta3,delta4
0018,0025,0032,0036,
0019,0025,0032,0036,
0017,0024,0043,0045,
0017,0024,0043,0045,
0015,0024,0043,0045,
0013,0023,0032,0040,
0013,0018,0031,0040,
0011,0015,0021,0024,
0006,0006,0014,0022,
0006,0006,0007,0009,
0006,0006,0007,0009,
0004,0002,0000,0002,
0004,0002,0000,0002,
0004,0002,0000,0002,
0002,0001,0000,0000,
0002,0001,0000,0000,
0002,0001,0000,0000,
0005,0001,0004,0001,
0005,0001,0004,0001,
0003,0001,0004,0001,
0002,-001,0000,0001,
0002,-001,0000,0001,
0002,-001,0000,0001,
0001,0001,0006,0004,
0001,0001,0006,0004,
0001,0001,0004,0006,
0003,0001,0001,-003,
0003,0001,0001,-003,
0003,0001,0001,-003,
0004,0002,-002,0004,
