delta1,delta2,delta3,delta4
0013,0018,0027,0030,
0014,0018,0029,0030,
0014,0023,0031,0030,
0014,0023,0031,0031,
0016,0023,0031,0031,
0014,0026,0036,0038,
0014,0026,0037,0038,
0014,0026,0037,0038,
0012,0023,0037,0041,
0011,0023,0034,0041,
0010,0017,0023,0031,
0008,0010,0019,0029,
0008,0007,0013,0015,
0007,0007,0013,0013,
0005,0003,0003,0003,
0005,0001,0003,0003,
0004,0001,0003,0003,
0000,-001,0003,0003,
0000,-002,0003,0003,
0000,-002,0003,0003,
0002,0004,0000,0004,
0002,0004,0000,0004,
0002,0004,0000,0004,
0002,0004,0001,0002,
0002,0004,0001,0002,
0003,0003,0001,0002,
0004,0002,0005,0004,
0004,0002,0005,0004,
0004,0002,0005,0004,
0004,0001,-001,0000,
