delta1,delta2,delta3,delta4
0010,0019,0025,0028,
0010,0019,0025,0028,
0018,0027,0036,0042,
0018,0027,0036,0042,
0018,0027,0036,0042,
0028,0039,0052,0056,
0028,0039,0052,0056,
0035,0041,0052,0057,
0038,0052,0075,0071,
0038,0052,0075,0071,
0038,0055,0076,0072,
0026,0061,0093,0076,
0026,0061,0093,0076,
0026,0044,0093,0076,
0021,0042,0080,0081,
0021,0034,0066,0081,
0012,0016,0027,0033,
0005,0008,0023,0023,
0002,0007,0011,0011,
0002,0007,0011,0011,
0000,0001,0002,0002,
0000,0001,0002,0002,
0000,0001,0002,0002,
-003,0002,0002,0003,
-003,0002,0002,0003,
-003,0002,0001,0003,
0001,0001,0001,-001,
0001,0001,0001,-001,
0001,0001,-001,-001,
0001,0002,-001,0003,
