delta1,delta2,delta3,delta4
0017,0022,0033,0024,
0017,0022,0033,0024,
0016,0020,0034,0024,
0016,0024,0038,0025,
0016,0024,0038,0025,
0015,0024,0050,0033,
0015,0027,0050,0033,
0015,0027,0051,0033,
0016,0027,0047,0036,
0016,0029,0047,0036,
0016,0029,0047,0036,
0019,0029,0047,0033,
0019,0024,0041,0030,
0019,0024,0041,0030,
0008,0024,0041,0028,
0010,0016,0036,0024,
0010,0016,0036,0024,
0012,0015,0026,0018,
0012,0008,0021,0018,
0012,0008,0021,0018,
0006,0010,0021,0018,
0006,0010,0021,0007,
0006,0010,0018,0007,
0005,0002,0007,0005,
0005,0002,0007,0005,
0005,0002,0007,0005,
0002,0001,0005,0000,
0002,-003,0004,0002,
0002,-003,0004,0002,
-001,-001,0001,0002,
