delta1,delta2,delta3,delta4
0013,0018,0026,0030,
0013,0022,0026,0030,
0019,0028,0041,0045,
0019,0028,0041,0045,
0019,0028,0041,0045,
0020,0040,0056,0053,
0020,0040,0056,0053,
0020,0040,0057,0053,
0022,0034,0075,0068,
0022,0034,0075,0068,
0016,0023,0048,0058,
0010,0018,0045,0051,
0010,0012,0023,0030,
0010,0011,0015,0020,
-001,0000,0006,0007,
-001,0000,0006,0007,
-001,0000,0006,0007,
-001,0000,0001,0000,
-001,0000,0001,0000,
-001,0000,0001,0000,
-001,0003,0003,-002,
-001,0003,0003,-002,
-001,0004,0003,-002,
0002,-001,0004,0002,
0002,-001,0004,0002,
0002,-001,0004,0002,
-001,0001,0002,-002,
-001,0001,0002,-002,
-001,0001,0002,-002,
0003,0000,0004,0003,
