delta1,delta2,delta3,delta4
0009,0020,0022,0026,
0010,0020,0025,0030,
0017,0028,0030,0035,
0017,0028,0030,0035,
0021,0032,0030,0035,
0025,0037,0051,0050,
0025,0037,0051,0051,
0027,0037,0051,0057,
0024,0044,0074,0065,
0024,0044,0074,0065,
0023,0033,0068,0066,
0014,0031,0058,0058,
0012,0019,0036,0045,
0006,0009,0014,0016,
0004,0004,0007,0009,
0004,0004,0004,0009,
0004,0004,0004,0009,
0000,0003,0008,0008,
0001,0003,0008,0008,
0001,0003,0006,0007,
0004,0002,0001,0002,
0004,0002,0001,0002,
0001,0002,0001,0002,
0001,-001,-003,0000,
0001,-001,-003,0000,
0002,-001,-003,0000,
-002,0000,0004,0001,
-002,0000,0004,0001,
-002,0000,0004,0001,
0003,0002,-003,-001,
