delta1,delta2,delta3,delta4
0014,0018,0022,0031,
0014,0018,0026,0032,
0017,0026,0036,0039,
0017,0026,0036,0039,
0020,0029,0040,0039,
0023,0035,0045,0048,
0023,0035,0045,0048,
0018,0035,0049,0048,
0018,0029,0057,0056,
0018,0029,0057,0056,
0020,0021,0033,0048,
0004,0012,0032,0029,
0004,0012,0016,0025,
0004,0005,0007,0013,
0002,0005,0004,0002,
0002,0005,0004,0002,
0001,0006,0003,0002,
0001,0003,0003,0005,
0001,0003,0003,0005,
0003,0001,0005,0006,
-002,0001,0004,0003,
-002,0001,0004,0003,
-002,0004,0004,0003,
0004,0000,0005,0005,
0004,0000,0005,0005,
0005,0000,0005,0005,
0000,0003,-002,0000,
0000,0003,-002,0000,
0000,0003,-002,0000,
0001,0002,0002,-001,
