delta1,delta2,delta3,delta4
0014,0019,0025,0030,
0015,0022,0027,0030,
0015,0026,0043,0044,
0015,0026,0043,0044,
0015,0026,0043,0044,
0015,0035,0055,0049,
0015,0035,0055,0049,
0015,0032,0055,0049,
0012,0023,0049,0051,
0012,0015,0040,0051,
0011,0013,0021,0028,
0001,0009,0017,0018,
0001,0003,0017,0018,
0001,0003,0013,0013,
-002,0000,0007,0013,
-002,0000,0007,0013,
-002,0000,0007,0010,
0000,0002,0003,0002,
0000,0002,0003,0002,
0000,0002,0003,0002,
-003,-003,0001,-003,
-003,-003,0001,-003,
-003,-003,0001,-003,
-002,-005,-001,-003,
-002,-005,-001,-003,
-002,-005,-001,-003,
-002,-001,0007,0003,
-002,-001,0007,0003,
-002,-001,0006,0002,
0000,0002,0001,-002,
