time,delta0,delta1,delta2,delta3,delta4
722,21,22,29,30,32
723,20,17,31,31,28
724,20,17,31,31,28
725,20,17,34,26,28
726,20,16,29,26,27
727,20,16,29,26,27
728,20,16,29,26,27
729,22,19,29,25,27
730,22,19,29,25,27
731,22,20,29,25,27
732,17,20,31,25,30
733,17,20,31,25,30
734,17,22,31,25,33
735,21,20,33,32,32
736,21,20,33,32,32
737,21,20,33,33,32
738,22,23,34,33,31
739,22,23,34,33,31
740,22,23,38,33,31
741,24,24,40,37,40
742,24,24,40,37,40
743,27,33,41,37,41
744,25,32,46,44,42
745,25,32,46,44,42
746,25,32,46,44,42
747,29,37,53,56,47
748,29,37,53,56,47
749,29,37,65,62,47
750,34,37,73,73,55
751,34,37,77,89,55
752,34,37,84,90,55
753,39,37,79,134,77
754,40,43,79,147,77
755,40,43,71,155,80
756,40,43,65,166,95
757,40,43,63,166,95
758,35,42,57,148,95
759,31,37,50,140,129
760,31,37,50,107,129
761,31,36,44,74,100
762,36,36,42,73,98
763,36,36,42,62,84
764,36,36,40,54,63
765,36,36,36,48,52
766,25,25,36,48,52
767,25,25,35,37,35
768,23,22,32,34,32
769,23,22,32,34,32
770,21,22,30,32,29
771,17,18,30,25,29
772,17,18,30,25,29
773,17,18,32,22,29
774,17,18,31,22,28
775,17,18,31,22,28
776,18,18,31,24,28
777,18,19,27,23,27
778,18,19,27,23,27
779,18,19,27,23,27
780,18,20,30,27,28
781,18,20,30,27,28
782,18,20,30,23,28
783,19,20,32,23,28
784,19,20,32,23,28
785,19,23,32,25,28
