time,delta0,delta1,delta2,delta3,delta4
369,11,8,19,16,9
370,9,7,20,14,12
371,9,7,20,14,12
372,9,7,20,14,12
373,10,13,21,15,12
374,10,13,21,15,12
375,10,13,21,15,12
376,12,6,25,15,18
377,12,6,25,15,18
378,12,6,25,15,18
379,11,18,16,19,16
380,11,18,16,19,16
381,11,18,16,19,16
382,13,11,19,19,15
383,13,11,19,19,15
384,13,11,19,19,15
385,14,8,25,18,16
386,14,8,25,18,16
387,14,8,25,18,16
388,18,13,30,20,23
389,18,13,30,20,23
390,18,13,30,20,23
391,20,17,31,26,29
392,20,17,31,26,29
393,20,17,31,26,29
394,22,21,38,34,31
395,22,21,38,34,31
396,22,21,38,34,31
397,27,28,44,41,36
398,27,28,44,41,36
399,27,28,44,41,36
400,27,32,67,57,44
401,27,32,67,57,44
402,27,32,67,57,44
403,31,29,90,101,52
404,31,29,90,101,52
405,31,29,89,110,52
406,31,29,79,139,55
407,31,29,79,139,55
408,31,29,77,139,55
409,24,27,55,158,91
410,24,27,55,158,91
411,24,27,54,105,93
412,24,23,38,103,92
413,24,23,38,73,92
414,6,4,38,64,76
415,6,4,31,39,54
416,6,4,31,39,54
417,6,4,31,39,47
418,21,15,27,30,30
419,21,15,27,30,30
420,21,15,27,30,30
421,15,10,21,23,16
422,15,10,21,23,16
423,15,10,21,23,16
424,12,8,20,15,18
425,12,8,20,15,18
426,12,8,20,15,18
427,10,7,21,13,12
428,10,7,21,13,12
429,10,7,21,13,12
430,10,13,19,19,16
431,10,13,19,19,16
432,10,13,19,19,16
