time,delta0,delta1,delta2,delta3,delta4
907,7,3,17,9,11
908,9,6,17,9,11
909,6,6,15,14,14
910,6,6,15,14,14
911,6,6,15,10,10
912,8,6,18,10,10
913,8,7,18,10,10
914,7,7,17,12,11
915,7,7,16,14,11
916,7,7,16,14,11
917,7,7,16,14,13
918,10,9,20,16,20
919,10,9,22,16,20
920,10,9,24,17,20
921,11,11,24,19,20
922,12,11,22,19,20
923,13,18,22,19,20
924,13,19,30,27,28
925,15,19,33,32,28
926,15,21,37,34,29
927,22,32,42,41,37
928,23,34,49,50,40
929,23,37,52,52,43
930,27,38,66,67,52
931,27,38,75,67,52
932,30,39,75,68,59
933,34,41,91,72,63
934,34,41,95,76,63
935,36,37,97,77,63
936,30,37,109,84,63
937,30,39,114,84,63
938,30,39,116,89,62
939,30,39,116,93,62
940,30,39,113,93,62
941,30,34,112,93,61
942,31,32,112,101,61
943,31,32,111,105,61
944,27,30,104,111,62
945,27,30,101,128,63
946,27,30,93,130,63
947,32,31,86,141,63
948,31,33,85,146,66
949,31,33,82,149,66
950,29,30,74,151,66
951,29,30,71,162,76
952,29,30,70,162,76
953,29,30,66,165,76
954,29,30,66,165,79
955,29,30,66,165,79
956,29,30,64,166,82
957,29,30,62,169,87
958,29,28,61,169,87
959,33,28,55,165,89
960,28,29,52,158,101
961,28,29,52,155,101
962,28,24,49,143,101
963,29,24,49,143,113
964,29,24,49,137,122
965,28,26,47,124,123
966,27,26,42,118,136
967,27,26,42,106,137
968,27,27,42,94,137
969,32,31,42,92,139
970,32,31,42,86,139
971,28,26,42,77,122
972,28,26,40,74,113
973,31,29,40,68,98
974,31,29,40,67,89
975,31,29,41,61,86
976,31,29,41,60,83
977,19,20,34,51,63
978,19,20,26,49,58
979,15,20,25,39,46
980,13,16,23,31,30
981,9,10,19,25,27
982,7,10,18,19,22
983,5,5,15,19,13
984,5,5,15,12,12
985,3,5,15,10,12
986,3,7,15,10,9
987,3,7,13,9,9
988,3,7,11,9,9
