time,delta0,delta1,delta2,delta3,delta4
574,-6,-8,-1,-3,-3
575,-6,-8,-1,-6,-3
576,-5,-10,-5,-1,-9
577,-5,-10,-5,-1,-9
578,-5,-10,-5,-1,-9
579,-5,-6,-6,-8,-9
580,-5,-6,-6,-8,-9
581,-5,-6,-6,-8,-9
582,-5,0,-7,-7,-8
583,-5,0,-7,-7,-8
584,-2,0,-4,-7,-8
585,-2,-7,-1,-1,-1
586,-2,-7,-1,-1,-1
587,-4,-8,0,-1,-1
588,-2,-3,5,7,0
589,-2,-3,5,7,0
590,-2,-3,5,9,0
591,0,-1,10,10,9
592,0,-1,10,10,9
593,7,3,14,16,9
594,12,18,24,22,23
595,12,18,24,22,23
596,12,28,26,31,23
597,15,34,34,34,28
598,15,34,34,34,28
599,19,37,43,35,28
600,19,37,46,47,41
601,19,37,46,47,41
602,19,36,65,53,41
603,23,37,69,59,43
604,23,37,72,59,43
605,23,37,98,67,43
606,21,26,99,72,45
607,21,26,118,72,45
608,34,41,127,84,45
609,34,41,138,85,41
610,34,41,138,85,41
611,34,41,140,94,41
612,13,14,142,97,30
613,13,14,142,97,30
614,11,14,142,137,29
615,10,14,134,138,29
616,10,14,132,138,29
617,10,10,121,178,27
618,10,10,105,178,28
619,10,10,93,178,28
620,11,6,83,198,41
621,11,6,65,198,41
622,7,3,65,198,41
623,7,3,57,193,48
624,7,3,49,193,48
625,7,3,49,193,48
626,7,3,47,191,58
627,7,3,47,191,58
628,7,3,47,191,58
629,13,5,42,175,71
630,13,5,39,159,71
631,13,5,39,155,71
632,7,-1,25,143,76
633,5,-5,20,101,97
634,5,-5,20,101,97
635,5,-5,20,93,97
636,7,-5,21,64,108
637,7,-7,21,64,108
638,7,-7,21,63,108
639,7,-7,15,43,89
640,7,-7,15,43,89
641,7,-7,15,43,89
642,3,-8,13,24,39
643,3,-8,13,24,39
644,3,-8,11,18,34
645,-5,-10,1,-1,-5
646,-5,-10,1,-1,-5
647,-5,-10,1,-3,-5
