time,delta0,delta1,delta2,delta3,delta4
190,13,9,23,18,15
191,13,9,23,18,15
192,13,9,23,18,15
193,13,11,25,18,16
194,13,11,25,18,16
195,13,11,25,18,16
196,16,14,30,17,19
197,16,14,30,17,19
198,16,14,30,17,19
199,15,16,21,21,20
200,15,16,21,21,20
201,15,16,21,21,20
202,17,14,28,21,22
203,17,14,28,21,22
204,17,14,28,21,22
205,20,14,30,25,25
206,20,14,30,25,25
207,20,14,30,25,25
208,22,19,34,28,30
209,22,19,34,28,30
210,22,19,34,28,30
211,20,27,36,36,38
212,20,27,36,36,38
213,20,27,36,36,38
214,31,29,50,52,43
215,31,29,50,52,43
216,31,29,50,52,43
217,31,31,79,76,49
218,31,31,79,84,49
219,31,31,79,87,49
220,24,29,71,117,57
221,24,29,65,117,57
222,24,29,65,117,57
223,24,29,52,109,68
224,24,29,52,109,68
225,24,29,52,86,68
226,22,25,36,84,63
227,22,25,36,66,63
228,9,6,36,59,63
229,9,6,32,40,44
230,9,6,32,40,44
231,9,6,32,40,44
232,18,14,30,31,28
233,18,14,30,31,28
234,18,14,30,28,28
235,18,12,22,23,20
236,18,12,22,23,20
237,18,12,22,23,20
238,11,9,24,18,15
239,11,9,24,18,15
240,11,9,24,18,15
241,15,9,20,17,15
242,15,9,20,17,15
243,15,9,20,17,15
244,8,13,20,18,15
245,8,13,20,18,15
