time,delta0,delta1,delta2,delta3,delta4
743,9,7,16,13,16
744,9,7,17,13,16
745,9,14,17,13,16
746,11,11,17,15,17
747,13,11,19,16,17
748,13,9,22,18,17
749,14,9,25,18,19
750,13,14,28,21,23
751,14,15,28,23,24
752,18,20,31,24,28
753,18,20,36,31,32
754,18,21,36,34,32
755,22,24,36,40,32
756,27,30,42,47,44
757,27,35,43,50,44
758,30,36,46,52,49
759,34,42,49,59,52
760,36,44,51,61,52
761,38,43,51,62,56
762,38,44,59,66,57
763,34,43,65,66,57
764,34,43,73,71,58
765,36,41,88,76,61
766,36,39,91,76,61
767,33,39,94,78,61
768,33,39,106,81,63
769,41,38,108,82,63
770,41,38,112,83,63
771,41,38,114,90,62
772,41,38,115,90,62
773,38,35,117,92,62
774,38,35,119,99,65
775,38,34,123,107,66
776,34,34,123,110,66
777,34,33,122,116,67
778,34,31,117,126,66
779,35,31,103,139,68
780,29,34,102,150,68
781,29,34,96,164,74
782,28,36,83,165,76
783,28,31,80,168,75
784,28,34,75,169,76
785,24,34,67,170,87
786,24,34,65,169,90
787,24,34,65,167,90
788,24,34,59,167,92
789,24,34,59,162,96
790,24,34,59,162,97
791,24,34,52,155,97
792,28,27,51,154,110
793,28,25,49,150,118
794,32,25,47,143,123
795,29,28,42,129,129
796,29,28,42,121,135
797,29,28,39,110,136
798,29,24,39,102,143
799,31,25,41,88,143
800,31,25,44,78,129
801,32,27,41,76,125
802,28,27,40,73,109
803,25,25,40,67,94
804,25,25,40,63,89
805,25,25,35,60,81
806,25,25,35,53,71
807,25,22,34,50,68
808,23,20,33,46,55
809,17,16,27,28,35
810,14,16,24,28,32
811,13,16,18,23,19
812,12,8,18,15,18
813,12,8,20,12,14
814,11,8,20,11,12
815,5,5,18,11,10
816,5,5,12,13,10
817,5,5,12,13,10
818,5,4,12,10,9
819,5,4,18,10,9
820,5,4,18,10,9
821,5,6,16,10,9
822,5,6,15,7,9
