time,delta0,delta1,delta2,delta3,delta4
661,10,16,9,10,13
662,10,16,9,10,13
663,10,13,9,10,13
664,7,13,15,17,19
665,7,13,15,17,19
666,7,13,19,18,19
667,11,12,18,21,25
668,11,12,18,21,25
669,14,12,18,21,25
670,14,26,25,27,29
671,14,26,25,27,29
672,16,26,25,27,29
673,22,35,38,45,44
674,22,35,38,45,44
675,22,35,38,51,44
676,30,43,41,53,47
677,30,43,41,53,47
678,31,45,41,53,47
679,34,48,53,61,56
680,34,48,53,61,56
681,34,48,53,61,56
682,40,56,69,74,65
683,40,56,69,74,65
684,40,56,69,74,65
685,40,56,84,79,74
686,40,56,84,79,74
687,40,56,84,79,74
688,42,56,102,85,76
689,42,56,102,85,76
690,42,56,104,85,76
691,42,56,110,90,79
692,42,56,110,90,79
693,41,49,110,89,78
694,36,43,128,83,68
695,36,43,128,83,68
696,36,43,129,83,68
697,32,41,139,97,64
698,32,41,139,97,64
699,32,41,135,98,64
700,35,37,118,111,62
701,35,37,118,111,62
702,35,34,116,111,62
703,24,29,99,131,57
704,24,29,99,131,57
705,24,29,90,131,57
706,27,27,78,147,72
707,27,33,78,155,72
708,27,31,75,161,75
709,30,31,71,161,75
710,30,31,66,155,77
711,30,31,65,155,77
712,30,31,65,155,83
713,30,31,56,154,88
714,30,31,56,154,90
715,30,31,56,154,94
716,30,26,54,151,98
717,28,26,51,150,104
718,28,26,51,144,114
719,25,29,46,129,116
720,25,29,46,125,131
721,25,29,46,115,134
722,29,26,44,99,136
723,29,26,44,92,134
724,30,27,44,85,134
725,30,30,39,74,113
726,27,30,39,71,108
727,27,30,37,70,101
728,27,30,37,64,89
729,27,30,37,62,88
730,25,25,35,56,76
731,23,19,33,44,59
732,18,15,27,37,43
733,14,9,21,27,29
734,14,9,21,19,21
735,14,9,20,18,21
736,14,6,16,16,16
737,10,6,16,16,14
738,10,8,16,14,14
739,10,8,16,11,14
740,10,8,16,10,13
741,12,8,16,10,13
742,12,7,16,11,13
