time,delta0,delta1,delta2,delta3,delta4
823,5,6,15,7,9
824,8,10,14,7,11
825,8,11,14,7,14
826,8,11,14,7,14
827,8,12,15,9,13
828,8,10,15,9,13
829,8,10,15,9,13
830,6,9,15,11,11
831,6,9,17,15,11
832,9,9,17,15,11
833,9,8,20,17,14
834,9,8,23,17,14
835,9,7,23,17,15
836,9,7,22,16,19
837,9,7,22,16,19
838,9,7,22,17,19
839,12,14,26,19,25
840,15,16,27,22,25
841,15,16,28,22,25
842,15,16,31,26,27
843,15,16,32,26,27
844,17,21,32,27,29
845,19,23,36,30,33
846,20,29,38,39,34
847,24,31,46,39,38
848,30,36,47,48,44
849,33,40,59,59,54
850,33,42,64,62,54
851,33,43,67,65,55
852,33,44,69,66,57
853,38,44,74,66,55
854,38,41,81,70,57
855,38,40,85,71,59
856,35,38,91,73,59
857,35,37,93,76,56
858,32,37,100,86,56
859,32,38,100,86,56
860,32,38,100,90,59
861,34,36,100,90,59
862,34,36,103,90,59
863,28,34,103,96,62
864,28,34,103,102,59
865,28,34,101,102,59
866,28,34,98,104,59
867,28,34,98,111,67
868,28,34,98,111,67
869,28,34,96,113,65
870,28,32,95,117,63
871,28,30,95,121,63
872,29,30,89,124,63
873,29,30,86,138,72
874,31,30,82,144,72
875,31,30,76,147,72
876,30,29,75,158,74
877,30,30,67,164,78
878,28,27,60,167,78
879,28,27,55,171,89
880,28,27,53,171,99
881,30,27,52,165,100
882,35,27,50,160,108
883,35,26,49,155,117
884,34,26,47,141,119
885,26,25,45,137,135
886,30,27,45,124,136
887,29,26,45,110,139
888,29,26,45,106,143
889,29,26,45,99,143
890,30,27,45,86,141
891,30,28,45,83,134
892,30,27,43,80,125
893,30,27,43,67,104
894,30,27,42,67,92
895,30,27,39,67,86
896,30,27,35,56,74
897,30,27,33,53,69
898,21,18,31,45,56
899,17,17,28,31,39
900,14,9,25,31,31
901,11,8,19,20,24
902,10,8,18,17,17
903,10,4,18,15,15
904,10,4,18,13,15
905,7,3,18,12,11
906,7,3,17,9,11
