time,delta0,delta1,delta2,delta3,delta4
31,6,3,7,8,9
32,6,3,7,8,9
33,3,8,11,12,13
34,3,8,11,12,13
35,3,8,11,14,13
36,6,11,11,20,18
37,6,11,11,20,18
38,6,11,11,18,18
39,9,16,18,18,22
40,9,16,18,18,22
41,11,16,19,24,22
42,14,19,25,27,26
43,14,19,25,27,26
44,16,19,27,28,26
45,17,23,31,33,27
46,17,23,31,33,27
47,17,23,31,33,27
48,17,26,41,41,37
49,17,26,41,41,37
50,17,26,45,46,37
51,22,26,52,54,39
52,22,26,52,54,39
53,22,26,52,54,39
54,16,26,64,65,41
55,16,26,64,65,41
56,16,26,70,69,41
57,23,22,81,90,45
58,23,22,81,92,45
59,23,22,79,98,45
60,19,25,69,145,58
61,19,25,69,145,58
62,19,25,69,159,58
63,19,25,61,173,69
64,19,25,61,173,69
65,19,19,55,179,69
66,21,19,49,215,95
67,21,19,49,215,109
68,21,23,42,206,112
69,21,19,42,196,170
70,21,19,42,155,170
71,21,19,42,100,174
72,26,19,40,97,171
73,26,19,40,83,171
74,24,14,35,63,99
75,24,14,29,54,95
76,24,14,29,54,88
77,24,14,29,51,71
78,24,14,28,36,52
79,13,9,28,36,52
80,11,3,18,25,30
81,9,3,17,18,19
82,9,3,17,18,19
83,7,-1,14,10,7
84,0,-2,10,7,5
85,0,-2,10,7,5
86,0,-2,10,5,5
87,5,-1,9,4,3
