time,delta0,delta1,delta2,delta3,delta4
246,8,13,20,18,15
247,12,10,26,17,12
248,12,10,26,17,12
249,12,10,26,17,12
250,10,14,19,19,18
251,10,14,19,19,18
252,10,14,19,19,18
253,12,10,25,15,18
254,12,10,25,15,18
255,12,10,25,15,18
256,15,15,21,24,22
257,15,15,21,24,22
258,15,15,21,24,22
259,14,13,20,23,23
260,14,13,20,23,23
261,14,13,20,23,23
262,22,14,22,23,22
263,22,14,22,23,22
264,22,14,22,23,22
265,19,12,22,27,19
266,19,12,22,27,19
267,19,12,22,27,19
268,16,18,34,28,28
269,16,18,34,28,28
270,16,18,34,28,28
271,20,20,39,33,28
272,20,20,39,33,28
273,20,20,39,33,28
274,27,28,44,43,36
275,27,28,44,43,36
276,27,28,44,43,36
277,31,32,68,68,49
278,31,32,70,68,49
279,31,32,76,72,49
280,27,38,90,99,58
281,27,38,90,99,58
282,27,38,76,110,58
283,41,41,65,123,67
284,41,41,65,123,67
285,41,41,65,123,67
286,41,41,50,134,87
287,34,30,50,134,88
288,34,30,50,115,88
289,27,31,45,107,111
290,27,31,45,79,111
291,27,29,44,54,63
292,29,29,34,37,44
293,29,29,34,37,42
294,29,29,34,37,42
295,29,29,30,29,30
296,16,15,30,29,30
297,16,15,30,29,30
298,15,16,26,18,23
299,15,16,26,18,23
300,15,16,26,18,23
301,9,10,25,16,15
302,9,10,25,16,15
303,9,10,25,16,15
304,12,13,21,17,16
