time,delta0,delta1,delta2,delta3,delta4
511,-002,0000,0003,0006,0003,
512,0001,0000,0004,0007,0009,
513,0001,0000,0004,0013,0009,
514,0008,0000,0004,0013,0009,
515,0008,0005,0006,0014,0015,
516,0008,0005,0006,0022,0015,
517,0007,0005,0006,0022,0015,
518,0013,0008,0015,0026,0026,
519,0013,0008,0015,0035,0028,
520,0013,0008,0018,0035,0028,
521,0013,0013,0021,0038,0033,
522,0013,0013,0021,0038,0033,
523,0013,0013,0021,0038,0033,
524,0015,0015,0026,0038,0034,
525,0015,0015,0026,0043,0034,
526,0015,0015,0026,0043,0034,
527,0020,0017,0029,0043,0044,
528,0020,0016,0039,0051,0048,
529,0020,0016,0039,0051,0048,
530,0016,0016,0040,0055,0048,
531,0016,0019,0046,0058,0048,
532,0017,0019,0050,0058,0048,
533,0017,0022,0057,0058,0051,
534,0017,0022,0058,0065,0051,
535,0017,0022,0059,0065,0051,
536,0017,0019,0065,0066,0050,
537,0017,0019,0070,0068,0050,
538,0017,0019,0072,0068,0050,
539,0021,0020,0078,0075,0053,
540,0021,0020,0084,0083,0054,
541,0021,0020,0084,0087,0054,
542,0022,0019,0082,0094,0056,
543,0022,0019,0082,0125,0056,
544,0028,0021,0076,0156,0056,
545,0028,0021,0062,0164,0066,
546,0028,0021,0059,0185,0068,
547,0028,0021,0058,0203,0077,
548,0026,0018,0043,0218,0081,
549,0026,0018,0042,0218,0151,
550,0026,0018,0041,0164,0195,
551,0028,0017,0038,0082,0195,
552,0028,0017,0036,0081,0115,
553,0028,0017,0036,0062,0082,
554,0013,0005,0021,0045,0047,
555,0013,0005,0021,0043,0045,
556,0013,0005,0021,0043,0045,
557,0013,0005,0022,0036,0034,
558,0013,0005,0019,0032,0030,
559,0012,0003,0019,0032,0025,
560,0012,0003,0012,0024,0020,
561,0012,0004,0012,0020,0014,
562,0011,0004,0012,0020,0014,
563,0009,0003,0008,0019,0011,
564,0009,0000,0008,0018,0007,
565,0009,0000,0008,0018,0007,
566,-001,-001,0009,0010,0002,
567,-001,-001,0003,0006,0002,
568,0001,-001,0003,0006,0002,
569,0001,0000,0002,0006,0001,
570,0001,0000,0002,0006,0000,
