time,delta0,delta1,delta2,delta3,delta4
411,-4,0,1,-3,2
412,-4,0,1,-3,2
413,-4,-5,1,-2,2
414,-4,-2,2,-1,0
415,-4,-2,2,-1,0
416,-3,-2,2,-1,0
417,-2,0,3,1,4
418,-2,0,3,1,4
419,-2,0,3,3,4
420,-2,-4,4,3,7
421,-2,-4,4,3,7
422,-2,-1,9,5,7
423,0,5,9,9,5
424,0,5,9,9,5
425,5,5,10,9,8
426,8,5,18,17,12
427,8,5,18,17,12
428,8,10,19,17,14
429,13,22,23,20,25
430,13,22,23,20,25
431,13,22,28,28,25
432,13,29,29,31,27
433,13,29,29,31,27
434,13,30,31,32,27
435,18,34,40,35,34
436,18,34,40,35,34
437,18,34,45,46,37
438,19,34,54,54,46
439,19,34,55,54,46
440,19,34,69,60,46
441,19,32,72,63,49
442,19,32,77,63,49
443,24,32,88,68,49
444,24,31,89,72,46
445,24,31,89,72,46
446,21,31,100,79,46
447,20,27,103,83,47
448,20,27,103,83,47
449,20,27,107,86,47
450,20,27,118,93,45
451,20,27,118,93,45
452,20,24,118,107,45
453,21,24,111,114,46
454,21,24,111,120,46
455,24,21,111,147,49
456,24,19,95,151,56
457,24,19,94,159,56
458,17,19,91,168,56
459,18,18,69,179,66
460,18,13,69,179,66
461,18,13,64,181,66
462,18,13,63,181,66
463,18,13,63,181,66
464,18,13,53,173,79
465,18,13,52,173,79
466,18,13,52,173,79
467,18,18,44,169,103
468,16,18,34,159,107
469,16,18,34,140,107
470,13,12,36,137,132
471,16,12,36,111,132
472,16,12,36,94,132
473,17,12,33,87,132
474,17,12,33,68,109
475,16,11,33,68,102
476,16,11,32,47,83
477,16,11,32,46,71
478,16,11,32,46,64
479,16,11,22,34,53
480,9,0,20,27,26
481,9,0,20,23,26
482,4,-4,6,7,10
483,4,-3,6,3,4
484,4,-3,6,3,4
485,-1,-3,3,0,0
486,-1,-4,3,0,0
487,-1,-4,3,0,0
