time,delta0,delta1,delta2,delta3,delta4
130,13,16,19,18,17
131,13,16,19,18,17
132,13,16,19,18,17
133,18,15,18,19,20
134,18,15,18,19,20
135,19,15,18,19,20
136,16,15,17,17,18
137,16,15,17,17,18
138,16,15,17,17,18
139,13,18,20,23,24
140,13,18,20,23,24
141,13,18,20,23,24
142,16,19,16,23,25
143,16,19,16,23,25
144,16,19,16,23,25
145,13,18,22,21,24
146,13,18,22,21,24
147,13,18,22,21,24
148,20,22,24,28,30
149,20,22,24,28,30
150,20,22,24,28,30
151,21,31,30,37,36
152,21,31,30,37,36
153,21,31,30,37,36
154,25,33,45,45,41
155,25,33,45,45,41
156,25,33,45,45,41
157,30,42,61,65,52
158,30,42,64,65,52
159,30,42,64,65,52
160,32,45,97,87,63
161,32,45,97,87,63
162,32,45,98,90,63
163,32,34,93,121,63
164,32,34,88,121,63
165,32,34,80,123,63
166,32,34,72,138,73
167,32,34,72,138,73
168,32,34,66,138,73
169,33,27,55,150,104
170,33,27,47,150,114
171,33,27,47,109,124
172,35,29,44,104,124
173,35,29,44,75,112
174,22,7,43,60,71
175,22,7,32,38,46
176,22,7,32,38,46
177,22,7,32,38,44
178,22,12,29,26,27
179,18,12,29,26,27
180,18,12,29,26,27
181,15,10,23,19,18
182,15,10,23,19,18
183,15,10,23,19,18
184,16,8,24,16,16
185,16,8,24,16,16
186,16,8,24,16,16
187,17,15,18,17,17
188,17,15,18,17,17
189,17,15,18,17,17
