time,delta0,delta1,delta2,delta3,delta4
333,1,2,3,0,3
334,1,2,3,0,3
335,1,2,3,0,1
336,2,2,4,4,1
337,2,2,4,4,1
338,2,2,4,4,2
339,0,5,2,4,2
340,0,5,2,4,2
341,0,5,3,4,2
342,0,5,3,7,7
343,0,5,3,7,7
344,3,5,7,7,7
345,5,2,11,6,10
346,5,2,11,6,10
347,5,2,11,7,13
348,6,8,13,13,13
349,6,8,13,13,13
350,6,8,16,16,16
351,12,15,16,23,24
352,12,15,16,23,24
353,12,15,23,23,28
354,12,21,25,30,28
355,12,21,25,30,28
356,12,25,30,30,28
357,15,29,34,37,29
358,15,29,34,37,29
359,16,29,37,40,37
360,25,33,45,48,43
361,25,33,46,48,43
362,25,33,49,53,45
363,26,35,56,57,47
364,26,35,60,57,47
365,26,35,69,62,47
366,24,35,73,69,49
367,24,35,78,69,49
368,24,35,96,76,49
369,29,33,99,80,55
370,29,33,108,80,55
371,42,40,109,90,55
372,42,40,116,95,54
373,42,40,117,95,54
374,42,40,123,100,54
375,23,27,123,108,52
376,23,27,123,108,52
377,23,25,117,124,52
378,21,22,110,127,52
379,21,22,103,137,52
380,21,19,98,157,61
381,22,19,81,158,70
382,22,19,80,175,70
383,22,19,74,181,70
384,18,12,62,181,78
385,18,12,62,181,78
386,18,12,62,179,83
387,18,12,55,178,97
388,18,12,55,178,97
389,18,12,53,178,106
390,18,12,46,161,116
391,25,19,46,160,118
392,25,19,42,156,133
393,23,17,42,131,139
394,23,17,42,117,162
395,23,17,42,113,162
396,25,20,39,86,153
397,25,20,39,81,143
398,25,20,39,80,123
399,22,15,32,51,76
400,18,10,32,48,59
401,18,10,31,39,55
402,18,10,19,19,26
403,18,10,19,19,26
404,18,10,19,19,25
405,1,-2,10,5,4
406,1,-2,10,5,4
407,3,-2,9,2,3
408,3,-2,5,2,5
409,3,-2,5,2,5
410,2,0,5,2,5
