time,delta0,delta1,delta2,delta3,delta4
0,0019,0009,0035,0040,0036,
1,0024,0015,0039,0046,0043,
2,0036,0030,0055,0068,0057,
3,0036,0030,0055,0068,0057,
4,0036,0030,0056,0073,0065,
5,0029,0032,0062,0081,0065,
6,0029,0032,0062,0081,0065,
7,0029,0032,0062,0081,0058,
8,0015,0011,0036,0050,0039,
9,0015,0011,0033,0033,0035,
10,0010,0007,0025,0027,0025,
11,0004,-002,0004,0000,0000,
12,0004,-002,0004,0000,0000,
13,0004,-002,0004,0000,0000,
14,-002,-004,-002,0000,-003,
15,-002,-004,-002,0000,-003,
16,-002,-004,-002,0000,-003,
17,-002,-002,-008,-005,-007,
18,-002,-002,-008,-005,-007,
19,-002,-002,-008,-005,-007,
20,-003,-001,-004,-005,-001,
21,-003,-001,-004,-005,-001,
22,-003,-001,-004,-005,-001,
23,0000,-003,-002,-008,-005,
24,0000,-003,-002,-008,-005,
25,0000,-003,-002,-008,-005,
26,-001,-004,-004,-002,-005,
27,-001,-004,-004,-002,-005,
28,-001,-004,-004,-002,-005,
29,0000,-005,-007,-005,-010,
