time,delta0,delta1,delta2,delta3,delta4
0,0021,0014,0028,0033,0039,
1,0028,0019,0046,0054,0049,
2,0037,0031,0052,0063,0066,
3,0047,0033,0066,0084,0083,
4,0047,0039,0070,0101,0083,
5,0038,0039,0084,0112,0099,
6,0038,0039,0084,0112,0099,
7,0038,0039,0084,0112,0099,
8,0038,0039,0066,0097,0074,
9,0038,0032,0066,0097,0074,
10,0037,0032,0066,0096,0074,
11,0014,0004,0033,0041,0031,
12,0012,0003,0033,0033,0031,
13,0012,0003,0019,0023,0023,
14,0012,0003,0013,0006,0009,
15,0012,0003,0013,0006,0009,
16,0012,0003,0013,0006,0009,
17,-001,-004,-007,0001,-004,
18,-001,-004,-007,0001,-004,
19,-001,-004,-007,0001,-004,
20,-001,-005,-004,-004,-003,
21,-001,-005,-004,-004,-003,
22,-001,-005,-004,-004,-003,
23,0000,-005,-007,-001,-005,
24,0000,-005,-007,-001,-005,
25,0000,-005,-007,-001,-005,
26,-003,-002,-005,-003,-004,
27,-003,-002,-005,-003,-004,
28,-003,-002,-005,-003,-004,
29,0002,-002,-002,-008,-006,
