time,delta0,delta1,delta2,delta3,delta4
0,0035,0024,0049,0063,0053,
1,0035,0024,0049,0063,0053,
2,0043,0050,0069,0098,0084,
3,0043,0050,0069,0098,0084,
4,0033,0035,0057,0087,0064,
5,0024,0025,0055,0078,0058,
6,0006,0012,0014,0019,0017,
7,0006,0012,0014,0019,0017,
8,0004,0006,0003,0002,0001,
9,0004,0006,0003,0001,0001,
10,0004,0006,0003,0001,0001,
11,0004,0001,0001,0002,0004,
12,0004,0001,0001,0002,0004,
13,0004,0001,0001,0002,0004,
14,-001,0003,0009,0001,-001,
15,-001,0003,0009,0001,-001,
16,-001,0003,0009,0001,-001,
17,0001,0001,0007,0004,-001,
18,0001,0001,0007,0004,-001,
19,0001,0001,0007,0004,-001,
20,0001,0000,0007,0002,0001,
21,0001,0000,0007,0002,0001,
22,0001,0000,0007,0002,0001,
23,0000,0004,-001,0000,0001,
24,0000,0004,-001,0000,0001,
25,0000,0004,-001,0000,0001,
26,0004,0006,0001,-001,-004,
27,0004,0006,0001,-001,-004,
28,0004,0006,0001,-001,-004,
29,0000,0005,0001,0002,-001,
