time,delta0,delta1,delta2,delta3,delta4
0,0012,0009,0021,0027,0026,
1,0040,0030,0055,0077,0062,
2,0042,0033,0056,0080,0078,
3,0048,0042,0066,0092,0082,
4,0048,0045,0076,0104,0088,
5,0047,0045,0076,0104,0088,
6,0047,0045,0073,0104,0088,
7,0047,0045,0062,0093,0072,
8,0047,0045,0049,0077,0061,
9,0025,0031,0038,0051,0054,
10,0016,0013,0034,0049,0045,
11,0006,0005,0016,0018,0014,
12,0006,0005,0016,0018,0014,
13,0003,0004,0005,0006,0002,
14,0003,0004,0003,0000,0002,
15,0003,0004,0003,0000,0002,
16,0001,0004,0005,0005,-001,
17,0001,0004,0005,0005,-001,
18,0001,0004,0005,0005,-001,
19,0000,0003,-003,0000,-002,
20,0000,0003,-003,0000,-002,
21,0000,0003,-003,0000,-002,
22,0003,0000,0000,-001,0004,
23,0003,0000,0000,-001,0004,
24,0003,0000,0000,-001,0004,
25,-002,0003,0007,0005,-001,
26,-002,0003,0007,0005,-001,
27,-002,0003,0007,0005,-001,
28,0000,0002,0004,0003,-001,
29,0000,0002,0004,0003,-001,
