time,delta0,delta1,delta2,delta3,delta4
0,0013,0011,0027,0029,0025,
1,0024,0020,0040,0052,0040,
2,0033,0028,0050,0074,0058,
3,0033,0028,0056,0074,0058,
4,0033,0028,0056,0074,0058,
5,0012,0012,0031,0044,0032,
6,0012,0012,0031,0044,0032,
7,0012,0012,0031,0044,0032,
8,-001,0000,-002,0001,-001,
9,-001,0000,-002,0001,-001,
10,-001,0000,-002,0001,-001,
11,-002,-004,-001,0003,-013,
12,-002,-004,-001,0003,-013,
13,-002,-004,-001,0003,-013,
14,-001,-002,-008,-001,-011,
15,-001,-002,-008,-001,-011,
16,-001,-002,-008,-001,-011,
17,-004,-002,-003,0000,-014,
18,-004,-002,-003,0000,-014,
19,-004,-002,-003,0000,-014,
20,-002,0000,-006,-006,-015,
21,-002,0000,-006,-006,-015,
22,-002,0000,-006,-006,-015,
23,-005,-005,-007,-005,-010,
24,-005,-005,-007,-005,-010,
25,-005,-005,-007,-005,-010,
26,-004,-003,0000,-005,-011,
27,-004,-003,0000,-005,-011,
28,-004,-003,0000,-005,-011,
29,-003,-001,-007,-005,-013,
