delta1,delta2,delta3,delta4
-0001,00000,00001,00002
00000,00001,00000,00001
-0001,00000,00000,00005
00002,00002,-0003,00003
00001,00000,-0001,00001
00000,-0001,-0001,00004
-0002,00000,00001,00003
-0002,-0001,00000,00002
-0002,00002,00000,00002
00000,00001,00001,00003
00003,00002,00002,00007
00009,00007,00004,00010
00011,00007,00008,00013
00016,00012,00013,00019
00019,00013,00017,00029
00019,00013,00017,00028
00019,00013,00017,00029
00019,00013,00017,00027
00019,00013,00017,00031
00019,00013,00017,00030
00010,00007,00014,00021
00005,00006,00007,00016
00006,00006,00003,00009
00006,00006,00003,00012
00006,00006,00003,00010
00006,00006,00003,00008
00006,00006,00003,00006
00006,00006,00003,00008
00002,00002,00004,00008
00004,00004,00002,00008
00001,00000,00001,00004
00002,00001,00001,00004
00000,00002,00005,-0003
00001,00001,00001,00003
00000,-0002,-0003,00002
00001,00000,00003,00001
00001,00000,00000,00003
00002,00001,00001,00003
00003,00000,-0001,00002
00001,-0001,00001,00002
-0002,00001,00001,00003
00000,00000,00000,00002
00001,00001,00000,00004
-0002,00000,00001,00003
00001,00001,00000,00002
00000,00000,00000,00001
-0002,00001,00000,00001
-0001,00001,-0001,00002
-0001,00000,-0001,00004
00000,-0001,00001,00002
00001,00001,00000,00001
-0003,00000,-0002,00001
-0002,-0002,-0002,00001
00000,00003,00003,00003
00000,-0001,00000,00002
