delta1,delta2,delta3,delta4
00002,00000,00000,00000
00001,00001,00000,00000
-0001,-0004,-0001,-0002
00002,00002,00001,00001
00003,00001,00000,00001
00002,-0001,00000,00001
00003,00000,00000,00003
00004,00001,00002,00003
00004,00003,00001,00005
00005,00006,00004,00004
00007,00007,00005,00009
00010,00009,00008,00012
00013,00011,00012,00012
00016,00014,00017,00018
00015,00017,00018,00023
00015,00017,00018,00023
00015,00017,00018,00025
00015,00017,00018,00022
00015,00017,00018,00029
00015,00017,00018,00024
00014,00015,00020,00020
00014,00015,00021,00020
00014,00015,00022,00020
00014,00015,00022,00020
00014,00015,00024,00020
00014,00015,00025,00020
00016,00015,00024,00026
00018,00018,00022,00025
00017,00015,00022,00026
00017,00015,00022,00024
00014,00014,00020,00022
00014,00013,00019,00021
00014,00013,00017,00020
00014,00015,00013,00016
00014,00015,00018,00016
00010,00011,00015,00017
00010,00011,00017,00017
00013,00010,00012,00015
00013,00010,00013,00017
00013,00010,00016,00017
00012,00010,00013,00017
00012,00010,00014,00017
00012,00010,00012,00017
00012,00010,00010,00017
00012,00010,00011,00017
00012,00010,00013,00017
00009,00011,00011,00014
00009,00011,00011,00013
00009,00011,00011,00010
00009,00011,00011,00011
00009,00011,00011,00012
00009,00011,00011,00011
00002,00004,00007,00012
00008,00006,00005,00009
00009,00008,00006,00008
