delta1,delta2,delta3,delta4
-0001,-0001,00000,00001
-0001,-0001,00001,00000
-0003,00000,00000,00001
00001,00000,00001,-0002
00000,-0001,00000,00000
-0002,00000,00001,00002
00000,-0001,00000,00000
00001,00000,00001,00001
-0001,-0001,00001,00000
00003,00002,00000,00000
-0003,00005,00002,-0001
00002,00004,00002,00002
00003,00003,00005,00005
00012,00013,00010,00010
00019,00023,00026,00027
00019,00028,00031,00037
00019,00037,00049,00043
00019,00043,00058,00056
00019,00049,00067,00067
00019,00053,00077,00069
00043,00053,00077,00071
00037,00053,00077,00071
00035,00053,00077,00071
00033,00053,00077,00071
00028,00053,00077,00071
00029,00053,00077,00071
00025,00029,00036,00034
00020,00022,00024,00024
00017,00017,00021,00018
00017,00016,00017,00018
00014,00015,00016,00016
00014,00016,00016,00016
00014,00016,00016,00016
00014,00016,00016,00016
00007,00016,00016,00016
00012,00016,00016,00016
00014,00012,00022,00020
00014,00019,00022,00020
00016,00019,00026,00022
00014,00022,00024,00023
00016,00022,00022,00024
00016,00016,00023,00026
00012,00016,00019,00017
00009,00012,00016,00014
00009,00011,00016,00015
00009,00009,00016,00011
00009,00010,00016,00013
00009,00008,00016,00009
00009,00006,00016,00010
00005,00009,00004,00008
00005,00009,00007,00008
00005,00009,00006,00008
00005,00009,00002,00008
00005,00009,00004,00008
00005,00009,00004,00008
