delta1,delta2,delta3,delta4
-0002,00000,00001,-0004
00005,-0001,-0005,00006
00000,00003,-0001,00002
00002,00002,-0003,00002
00005,00003,-0003,00001
00004,00005,-0002,00002
00004,00005,00001,00004
00006,00007,00001,00004
00008,00011,00002,00007
00011,00010,00004,00006
00012,00011,00008,00012
00012,00012,00009,00016
00015,00015,00012,00019
00017,00015,00013,00021
00017,00015,00013,00024
00017,00015,00013,00022
00017,00015,00013,00022
00017,00015,00013,00024
00017,00015,00013,00021
00017,00011,00011,00024
00012,00006,00007,00021
00008,00002,00003,00017
00003,-0002,00004,00003
00003,-0002,00004,00009
00003,-0002,00004,00006
00003,-0002,00004,00006
00003,-0002,00004,00006
00003,-0002,00004,00005
00003,00001,-0002,00006
00002,-0001,-0002,00002
00002,-0001,-0003,00003
00003,-0001,-0004,00004
00003,00000,-0002,00003
00001,00001,-0002,00002
00002,-0002,-0005,00004
00001,-0001,-0002,00001
00002,00001,-0003,-0001
00002,00000,-0002,00002
00000,-0001,-0001,00001
00002,00001,-0004,00001
00003,00000,-0004,00001
00003,00000,-0005,00001
00002,-0001,-0002,00002
00001,-0002,-0003,00003
00002,-0001,-0003,00002
00001,-0002,-0003,00002
00001,00001,-0002,00001
00000,00000,-0002,00003
00003,-0002,-0002,00002
00002,00000,-0001,00003
00000,-0001,00000,00003
00001,00000,-0002,-0002
00001,-0001,-0002,00002
00001,-0001,-0003,00000
00001,-0002,00000,00002
