delta1,delta2,delta3,delta4
00001,00000,00002,00003
00005,00008,00002,00003
00001,00001,00004,00003
00002,00001,00004,00003
00002,00002,00001,00003
00003,00001,00002,00004
00002,00003,00002,00002
00002,00002,00004,00005
00004,00005,00002,00003
00006,00003,00003,00007
00006,00004,00006,00009
00011,00006,00007,00012
00014,00011,00011,00015
00018,00017,00015,00018
00024,00020,00019,00022
00024,00027,00019,00024
00025,00021,00019,00021
00027,00023,00019,00024
00030,00023,00019,00023
00032,00026,00019,00023
00022,00016,00016,00021
00024,00031,00020,00013
00024,00031,00018,00011
00024,00031,00018,00009
00024,00031,00018,00007
00024,00031,00018,00005
00024,00031,00018,00006
00008,00018,00008,00005
00004,00018,00008,00005
00005,00018,00008,00005
00006,00018,00008,00005
00004,00018,00008,00005
00004,00018,00008,00005
00002,00007,00005,00005
00002,00005,00005,00005
00002,00006,00005,00005
00002,00005,00005,00005
00002,00005,00005,00005
00002,00007,00005,00005
00004,00006,00003,00001
00001,00004,00004,00002
00002,00002,00004,00003
00003,00002,00002,00003
00003,00000,00003,00002
00001,00002,00002,00001
00002,00002,00003,00002
00001,00002,00001,00000
00001,00001,00000,00005
00000,00003,00003,00001
00000,00001,00003,00001
00003,00001,00004,00003
00001,00000,00001,00001
00000,00002,00002,00002
00001,00002,00002,00000
00002,00002,00002,00001
