delta1,delta2,delta3,delta4
00001,00001,-0002,00003
00000,00000,00000,00004
00002,00002,-0002,00000
00001,-0002,00000,00001
00002,00002,-0003,-0002
00001,00001,-0002,00002
00002,00001,-0002,00003
00003,00003,-0002,00004
00002,00002,00001,00003
00002,00002,00001,00003
00003,00003,00000,00006
00004,00004,00002,00008
00006,00005,00005,00015
00012,00008,00007,00020
00012,00008,00007,00025
00012,00008,00007,00025
00012,00008,00007,00026
00012,00008,00007,00028
00012,00008,00007,00033
00019,00020,00022,00034
00019,00021,00025,00034
00019,00022,00027,00034
00019,00024,00029,00034
00019,00025,00029,00034
00019,00022,00028,00034
00019,00025,00023,00020
00016,00026,00016,00012
00016,00026,00016,00013
00016,00026,00016,00008
00016,00026,00016,00007
00016,00026,00016,00005
00016,00026,00016,00004
00007,00008,00000,00004
00007,00008,00001,00004
00007,00006,00000,00004
00007,00003,00001,00004
00007,00003,-0001,00004
00007,00002,-0003,00004
00003,00002,-0002,00001
-0005,00005,-0001,00004
00002,00001,-0003,00002
00003,00002,-0001,00003
00001,00003,-0001,00002
00001,00000,-0001,00002
00001,00001,-0002,00002
00001,00001,-0002,00002
00002,00000,-0001,00001
00002,00002,-0001,00002
00002,00001,00000,00002
00003,00000,-0002,00002
00002,00001,-0003,00001
00001,00001,-0003,00004
00003,00003,-0003,00002
00003,00001,-0001,00002
00002,00002,-0002,00002
