delta1,delta2,delta3,delta4
00001,00001,-0002,00001
00000,00004,-0001,00000
00001,00000,-0001,00001
00001,00002,-0001,00002
00002,00000,-0002,-0001
00003,00003,-0003,-0001
00001,-0001,00006,00005
00000,00001,00000,00001
00002,00002,00000,00001
00011,00004,00001,00002
00002,00001,00000,00003
00003,00002,00003,00008
00007,00005,00003,00014
00011,00010,00008,00016
00011,00026,00014,00010
00011,00012,00014,00010
00017,00019,00016,00020
00017,00019,00016,00019
00016,00017,00011,00012
00011,00017,00006,00005
00004,00008,00002,00002
00002,00004,00000,00000
00002,00003,00000,00003
00002,00002,-0002,00000
00002,00002,-0002,00002
00002,00003,-0003,00002
00002,00003,-0002,00002
00004,-0001,-0002,00002
00003,00002,-0002,00001
00002,00001,-0003,00002
00003,00003,-0002,00001
-0001,00000,-0003,00002
00002,00003,-0003,00000
00002,00003,-0002,00000
00001,00002,-0001,00002
00001,00001,-0003,00001
00002,00005,-0003,00002
00000,00002,-0002,00000
00003,00002,-0001,00000
00002,00001,-0001,00001
00002,00003,-0001,00004
00001,00002,00000,00003
00001,00001,-0001,00003
00003,00003,-0001,00001
00003,00002,-0002,00001
00003,00002,-0002,00002
00004,00005,-0001,-0001
00000,00002,-0001,00001
00002,00001,-0001,00001
-0001,00003,00000,-0001
00002,00002,-0001,00001
00001,00001,00000,00001
00001,00000,00000,00002
00002,00001,-0002,00000
00001,00002,00000,00000
