delta1,delta2,delta3,delta4
00001,00002,00001,00000
-0001,00001,00001,00002
00000,00001,00002,00002
00001,00000,00001,00001
00001,00002,00001,00001
00001,-0001,00000,-0002
00001,00000,00002,00000
00001,00001,00001,00003
00000,00001,00002,00003
00004,00003,00001,00001
00002,00001,00003,00002
00005,00003,00003,00004
00009,00008,00006,00009
00014,00014,00015,00016
00021,00023,00029,00029
00022,00021,00036,00034
00023,00026,00037,00035
00028,00026,00040,00034
00025,00027,00041,00036
00027,00025,00038,00036
00024,00026,00037,00033
00015,00019,00024,00025
00017,00019,00024,00025
00014,00011,00012,00014
00010,00009,00010,00011
00010,00008,00008,00008
00008,00006,00007,00008
00007,00006,00004,00009
00008,00004,00004,00008
00006,00004,00002,00006
00006,00002,00003,00006
00003,00002,00004,00004
00005,00001,00001,00003
-0002,00006,-0001,00007
00001,00002,00001,00001
00002,00002,00002,00002
00003,00000,00000,00002
00002,00002,00003,-0001
00003,00001,00001,00003
-0001,00000,00002,00003
00002,00001,00002,00002
00003,00001,00002,00002
00002,00000,00002,00000
-0001,00000,-0001,00001
00000,00001,00000,-0001
00001,-0002,00003,-0001
-0001,00001,00002,00001
00001,00002,00002,00000
00002,00001,00000,00000
00000,-0001,00000,00001
00002,-0001,00000,00003
00002,00000,00000,-0002
00000,00000,00000,00000
00001,00001,00001,00000
00000,00001,00002,00002
