delta1,delta2,delta3,delta4
00002,00001,00000,00003
00002,00002,-0001,00001
00001,00002,-0001,00001
00000,00001,-0002,00001
00001,00001,00000,00003
00001,00002,-0002,00001
00002,00000,00000,00002
00003,00001,-0001,00001
00003,00002,-0001,00001
00001,00003,00000,00004
00001,00003,00000,00004
00001,00002,00002,00006
00006,00004,00003,00011
00011,00008,00009,00021
00011,00008,00009,00025
00011,00008,00009,00026
00011,00008,00009,00030
00011,00008,00009,00034
00011,00008,00009,00031
00022,00024,00027,00030
00021,00026,00025,00030
00021,00023,00023,00030
00024,00024,00022,00030
00022,00024,00016,00030
00021,00023,00016,00030
00017,00021,00010,00009
00017,00021,00010,00005
00017,00021,00010,00006
00017,00021,00010,00003
00017,00021,00010,00003
00017,00021,00010,00002
00004,00005,-0001,00001
00001,00006,-0001,00001
00005,00004,-0001,00001
00001,00003,-0001,00001
00004,00004,-0001,00001
00003,00003,-0001,00001
00002,00003,-0002,00002
00003,00007,00000,-0001
00003,00004,-0002,00001
00001,00001,-0001,00002
00000,00001,00001,00001
00002,00002,-0002,00001
00002,00001,-0002,00002
00000,00002,-0002,00003
00000,00003,-0002,00002
00003,00002,-0003,00001
00001,00002,-0001,00001
00001,00002,-0002,00002
00002,00001,-0001,00002
00004,00004,-0003,00003
00007,00004,00001,00003
00005,00003,00003,00002
00005,00004,-0001,00005
00003,00000,00000,00002
