delta1,delta2,delta3,delta4
00002,00002,00001,00002
00004,00002,00000,-0001
00002,00003,-0001,-0001
00003,00002,00001,00000
00000,00001,00001,00000
-0001,00003,00000,-0001
00001,00003,00000,00000
00003,00003,00000,-0001
00005,00002,00000,-0001
00006,00004,00002,00002
00010,00006,00003,00002
00012,00009,00002,00009
00016,00013,00008,00012
00015,00013,00013,00015
00019,00018,00017,00024
00019,00018,00017,00023
00019,00018,00017,00024
00019,00018,00017,00023
00019,00018,00017,00022
00019,00018,00017,00020
00012,00014,00020,00018
00012,00014,00019,00018
00009,00010,00016,00019
00010,00011,00011,00016
00011,00007,00010,00012
00007,00008,00009,00006
00005,00004,00006,00004
00001,00002,00004,00002
00004,00004,00003,00000
00003,00004,00002,00000
-0001,00002,00001,00001
00005,00000,00002,00002
00001,-0001,00002,-0002
00002,00001,00002,-0001
00008,00000,00001,00000
00001,00005,00000,00001
-0003,00003,00002,00001
00000,00000,00000,-0001
00003,00001,-0001,00000
00003,00003,00001,00000
-0001,00001,00001,00000
00007,00000,00002,-0004
00000,-0002,-0001,-0001
00001,00001,00000,-0002
00003,00001,00001,-0002
-0001,-0001,00000,00000
00001,00002,00000,-0002
00002,00003,00000,-0002
00005,00002,-0001,-0002
00002,00002,00000,-0002
00002,00001,-0001,-0002
00002,00000,00001,-0001
00000,00002,-0001,-0003
00001,00000,00002,-0004
00001,00001,00002,00000
