time,delta0,delta1,delta2,delta3,delta4
0,0029,0021,0040,0055,0052,
1,0031,0021,0045,0072,0052,
2,0036,0021,0049,0073,0060,
3,0063,0052,0080,0114,0106,
4,0064,0057,0080,0114,0106,
5,0064,0057,0089,0124,0110,
6,0064,0057,0089,0127,0114,
7,0064,0057,0089,0127,0114,
8,0042,0041,0068,0098,0076,
9,0035,0033,0065,0094,0065,
10,0020,0010,0046,0068,0047,
11,-003,-005,0026,0038,0027,
12,-003,-005,0014,0018,0012,
13,-003,-005,0014,0013,0012,
14,-003,-005,0014,0009,0005,
15,-001,-005,0006,-003,-003,
16,0003,0006,0014,0009,0005,
17,0004,0003,0006,0004,0005,
18,0004,0003,0004,0004,0005,
19,0004,0003,0004,0004,0005,
20,0002,0000,-003,0002,0002,
21,0002,-001,0000,0002,0002,
22,0002,-001,0000,0002,0002,
23,0000,0004,0000,0003,-002,
24,0000,0004,-001,0003,-002,
25,0000,0004,-001,0003,-002,
26,0002,0000,0000,-001,0003,
27,0002,0000,0000,-001,0003,
28,0002,0000,0000,-001,0003,
29,-003,0005,-003,-004,0001,
