time,delta0,delta1,delta2,delta3,delta4
0,0015,0014,0029,0034,0031,
1,0015,0014,0029,0034,0031,
2,0042,0030,0060,0081,0064,
3,0042,0030,0060,0081,0064,
4,0042,0030,0060,0081,0064,
5,0034,0030,0055,0079,0063,
6,0028,0030,0048,0070,0058,
7,0028,0028,0044,0051,0054,
8,0010,0008,0031,0043,0025,
9,0008,0008,0010,0013,0015,
10,0008,0008,0010,0013,0015,
11,0002,0003,0009,0005,0003,
12,0002,0003,0009,0005,0003,
13,0002,0003,0009,0005,0003,
14,0003,0002,0000,0001,-001,
15,0003,0002,0000,0001,-001,
16,0003,0002,0000,0001,-001,
17,0006,0003,-001,0002,0001,
18,0006,0003,-001,0002,0001,
19,0006,0003,-001,0002,0001,
20,-004,0002,0004,0005,0001,
21,-004,0002,0004,0005,0001,
22,-004,0002,0004,0005,0001,
23,0003,0002,0001,0000,0003,
24,0003,0002,0001,0000,0003,
25,0003,0002,0001,0000,0003,
26,0004,0000,-003,-003,0003,
27,0004,0000,-003,-003,0003,
28,0004,0000,-003,-003,0003,
29,0004,0000,0002,-002,0000,
