time,delta0,delta1,delta2,delta3,delta4
0,0029,0028,0054,0073,0066,
1,0023,0015,0029,0043,0044,
2,0017,0014,0024,0033,0037,
3,0017,0014,0024,0033,0037,
4,0010,0004,0006,0009,0011,
5,0006,0004,0006,0006,0011,
6,0006,0004,0006,0006,0011,
7,0003,0007,0005,0002,0001,
8,0001,0005,0004,0002,0001,
9,0001,0005,0004,0002,0001,
10,0001,0005,0004,0002,0002,
11,0003,0005,0005,0001,0002,
12,0003,0005,0005,0001,0002,
13,0005,0000,-002,0001,0004,
14,-001,0000,-002,-001,0003,
15,-001,0000,-002,-001,0003,
16,-001,0000,-001,-001,0001,
17,0001,0000,-001,0000,0001,
18,0001,0000,-001,0000,0001,
19,0000,-001,-001,-001,0000,
20,0000,-001,-001,-001,0000,
21,0000,-001,-001,-001,0000,
22,0001,0000,0002,0002,0004,
23,0001,0000,0002,0002,0002,
24,0001,0000,0002,0002,0002,
25,0001,0006,0004,0001,-001,
26,0001,0006,0002,0001,-001,
27,0001,0006,0002,0001,-001,
28,0002,-002,-001,0001,0004,
29,0002,-002,-001,0001,0003,
