time,delta0,delta1,delta2,delta3,delta4
0,0010,0002,0020,0020,0026,
1,0013,0005,0024,0027,0025,
2,0025,0017,0039,0043,0051,
3,0025,0020,0047,0058,0051,
4,0025,0020,0049,0058,0051,
5,0028,0026,0049,0063,0055,
6,0028,0026,0049,0063,0055,
7,0028,0026,0049,0063,0055,
8,0012,0012,0028,0034,0030,
9,0012,0012,0028,0033,0030,
10,0012,0012,0028,0031,0030,
11,0004,-002,0001,0004,0010,
12,0004,-002,0001,0004,0010,
13,0004,-002,0001,0004,0010,
14,0002,-002,0001,0000,0005,
15,0002,-002,0001,0000,0005,
16,0002,-002,0001,0000,0005,
17,0001,0000,0001,0001,0004,
18,0001,0000,0001,0001,0004,
19,0001,0000,0001,0001,0004,
20,-001,-001,0003,0000,-002,
21,-001,-001,0003,0000,-002,
22,-001,-001,0003,0000,-002,
23,0000,-001,0006,0003,-001,
24,0000,-001,0006,0003,-001,
25,0000,-001,0006,0003,-001,
26,0003,0001,-001,-003,-002,
27,0003,0001,-001,-003,-002,
28,0003,0001,-001,-003,-002,
29,0004,0001,-001,-002,-001,
