time,delta0,delta1,delta2,delta3,delta4
0,0018,0017,0033,0048,0044,
1,0022,0021,0036,0044,0041,
2,0018,0019,0026,0035,0040,
3,0018,0019,0026,0035,0040,
4,0009,0011,0016,0017,0019,
5,0009,0010,0016,0011,0014,
6,0009,0010,0016,0011,0014,
7,0003,0003,0003,0003,0006,
8,0003,0003,0003,0003,0006,
9,0003,0003,0003,0003,0006,
10,0002,-002,0002,0001,0001,
11,0002,-002,0002,0001,0001,
12,0002,-002,0002,0001,0001,
13,-002,0003,0002,-001,0001,
14,-002,0003,0002,-001,0001,
15,-002,0003,0002,-001,0001,
16,-001,-002,-001,0002,0000,
17,-001,-002,-001,0001,0000,
18,-001,-002,-001,0001,0000,
19,0001,0003,-002,0001,0001,
20,0001,0003,-002,0003,0001,
21,0001,0003,-002,0003,0001,
22,0001,0002,-003,0000,0002,
23,0001,0002,-003,0000,0002,
24,0001,0002,-003,0000,0002,
25,0001,-002,0001,0000,0002,
26,0001,-002,0002,0000,0002,
27,0001,-002,0002,0000,0002,
28,-001,0001,-001,-001,0001,
29,-001,0001,-001,-001,0001,
