delta1,delta2,delta3,delta4
00010,00008,00005,00008
00007,00011,00006,00012
00010,00013,00007,00013
00008,00011,00008,00014
00011,00010,00009,00014
00011,00012,00011,00016
00019,00013,00009,00014
00013,00014,00013,00018
00016,00013,00011,00021
00016,00013,00011,00019
00016,00013,00012,00021
00016,00013,00012,00019
00015,00013,00010,00021
00015,00013,00010,00022
00015,00013,00010,00023
00015,00013,00010,00021
00015,00013,00010,00022
00015,00013,00010,00022
00012,00009,00010,00023
00014,00011,00009,00023
00011,00005,00007,00022
00008,00005,00005,00019
00007,00004,00004,00017
00005,00002,00003,00015
00005,00002,00003,00013
00005,00002,00003,00011
00005,00002,00003,00011
00005,00002,00003,00009
00005,00002,00003,00009
00003,00001,00001,00009
00002,00000,00000,00005
00002,00000,00001,00006
00000,00002,-0001,00004
00001,00001,00000,00003
00001,00000,00001,00010
00001,00004,00000,00005
00001,00002,00001,00002
00002,00000,-0001,00002
00000,00001,00001,00006
00001,00001,-0001,00003
00000,00000,00000,00003
-0001,00000,00002,00004
00000,-0001,00000,00003
00000,-0002,-0001,00002
00001,00000,00000,00004
00002,-0002,00000,00003
00000,00001,00000,00003
00001,00000,00000,00003
00000,00000,00001,00003
00000,00001,-0001,00001
00001,00000,00001,00003
00001,00001,00001,00004
00000,-0003,00000,00003
00000,-0001,00000,00003
00000,-0001,00000,00002
