delta1,delta2,delta3,delta4
00002,00000,00001,00001
00002,00000,00001,00001
00004,00003,00001,00004
-0003,00004,00000,00003
00001,00004,00000,00005
00004,00008,00001,00004
00005,00006,00002,00005
00006,00007,00006,00005
00010,00006,00005,00008
00012,00011,00008,00010
00012,00014,00010,00013
00015,00013,00012,00016
00014,00013,00013,00018
00015,00015,00013,00018
00015,00014,00014,00024
00015,00014,00014,00026
00015,00014,00014,00026
00015,00014,00014,00026
00015,00014,00014,00026
00015,00014,00014,00027
00015,00011,00011,00026
00015,00009,00012,00026
00015,00007,00008,00028
00014,00006,00006,00024
00011,00005,00005,00020
00008,00003,00002,00014
00008,00003,00002,00020
00006,00003,00002,00012
00006,00003,00002,00010
00006,00003,00002,00011
00006,00003,00002,00009
00006,00003,00002,00006
00006,00003,00002,00008
00003,00001,00001,00006
00003,00002,00000,00006
00003,00002,00002,00006
00001,00000,00002,00005
00001,00001,00000,00005
00001,00000,00001,00005
00000,00001,00000,00004
00000,00001,00002,00004
00002,00000,00000,00003
00003,00002,00000,00003
00002,00000,00001,00003
00002,00002,00000,00003
00001,00001,00000,00003
00002,00000,00001,00005
-0001,00000,00001,00003
00000,00002,00001,00003
00001,00003,00000,00002
00000,00001,00000,00003
00001,00001,00001,00004
00002,00000,00000,00002
00001,-0001,00000,00004
00001,00001,00001,00002
