delta1,delta2,delta3,delta4
13,20,18,15
10,26,17,12
10,26,17,12
10,26,17,12
14,19,19,18
14,19,19,18
14,19,19,18
10,25,15,18
10,25,15,18
10,25,15,18
15,21,24,22
15,21,24,22
15,21,24,22
13,20,23,23
13,20,23,23
13,20,23,23
14,22,23,22
14,22,23,22
14,22,23,22
12,22,27,19
12,22,27,19
12,22,27,19
18,34,28,28
18,34,28,28
18,34,28,28
20,39,33,28
20,39,33,28
20,39,33,28
28,44,43,36
28,44,43,36
28,44,43,36
32,68,68,49
32,70,68,49
32,76,72,49
38,90,99,58
38,90,99,58
38,76,110,58
41,65,123,67
41,65,123,67
41,65,123,67
41,50,134,87
30,50,134,88
30,50,115,88
31,45,107,111
31,45,79,111
29,44,54,63
29,34,37,44
29,34,37,42
29,34,37,42
29,30,29,30
15,30,29,30
15,30,29,30
16,26,18,23
16,26,18,23
16,26,18,23
10,25,16,15
10,25,16,15
10,25,16,15
13,21,17,16
